Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return,scaled,metric,portfolio,sharpe,sortino,return,silhouette,db,ch,min_mult,p25_mult,p50_mult,p75_mult,max_mult,mean_mult,min_preturn,p25_preturn,p50_preturn,p75_preturn,max_preturn,mean_preturn,k
2013-01-02,2020-01-02,2020-01-03,2021-01-04,0.0091680194697425,0.0101495457070873,0.055492103264846,0.0286351953602161,0.0306515836980341,0.1770112881969164,0.0304367970849892,0.0337323722300059,0.1910680948325206,True,Daily Log Returns,"['VRTX', 'CTAS', 'UNH', 'JPM', 'LMT', 'FANG', 'NFLX', 'MU', 'LULU', 'BLDR', 'EXR', 'NEE', 'AMZN', 'ENPH', 'NVDA', 'AMD', 'PCG', 'MSCI', 'DXCM', 'AXON', 'MGM', 'SMCI', 'WM', 'DHI', 'TSLA', 'LUV', 'INCY', 'FSLR', 'NEM', 'FCX']",0.05937517331766632,0.06329348328320822,0.39765465956670387,-0.0006187576080291325,1.778414554244047,6.744380650264612,-0.502805811747619,0.3619269493647444,1.1299240966623356,2.544626675869079,209.73113767919966,4.200836040278632,-0.3315185482193228,-0.05579772713102384,0.02233230146933452,0.06819498646574984,0.1875439064456586,0.002805293107516725,30
2013-01-03,2020-01-03,2020-01-06,2021-01-06,0.0120960743793458,0.0133752377110165,0.074068610302943,0.031835449089247,0.0340356956708414,0.1992427569466249,0.0318627589407327,0.0355913096499811,0.2058025633563196,True,Daily Log Returns,"['VRTX', 'CTAS', 'DXCM', 'JPM', 'LMT', 'FANG', 'NFLX', 'MU', 'LULU', 'BLDR', 'EXR', 'NEE', 'AMZN', 'ENPH', 'NVDA', 'AMD', 'PCG', 'MSCI', 'UNH', 'AXON', 'MGM', 'SMCI', 'WM', 'DHI', 'TSLA', 'LUV', 'INCY', 'FSLR', 'NEM', 'FCX']",0.06088286064132769,0.06478817772942617,0.41066583207592866,-0.0005340193942351977,1.7826933307403612,6.743722743473934,-0.03323393981819748,0.4151728123300529,1.1296687164921313,2.504618266425942,125.46648861464021,3.0618438378380874,-0.3323126832629817,-0.05610443189393896,0.02201262938065603,0.06952412842699822,0.1911251795835302,0.003052538417584247,30
2013-01-04,2020-01-06,2020-01-07,2021-01-07,0.0139610083806508,0.0153900311289007,0.0859739263363517,0.0342090556767306,0.0365103883165587,0.2157351716696882,0.032362010889838,0.0358438686958333,0.2114759054191113,True,Daily Log Returns,"['VRTX', 'CTAS', 'UNH', 'JPM', 'LMT', 'FANG', 'NFLX', 'MU', 'LULU', 'BLDR', 'EXR', 'NEE', 'AMZN', 'ENPH', 'NVDA', 'AMD', 'PCG', 'MSCI', 'DXCM', 'AXON', 'MGM', 'INCY', 'WM', 'DHI', 'TSLA', 'LUV', 'SMCI', 'FSLR', 'NEM', 'FCX']",0.06458550193886722,0.06884254461097013,0.4413681867543976,-0.0006966926513843238,1.7829229461599687,6.741351886585476,-0.33400737281418197,0.33338559546665675,1.1376303221710196,2.3308472471991064,867.2778537781023,6.50149894284361,-0.3317809778350744,-0.056168398058393146,0.02485127557743528,0.07168909574603874,0.20701149938639515,0.004662921283762941,30
2013-01-07,2020-01-07,2020-01-08,2021-01-08,0.0133187628720504,0.0146806605814245,0.0818533138064476,0.0342261562759092,0.0365287265832816,0.2158544642009224,0.0342126734319133,0.0378482125301547,0.2231974990919865,True,Daily Log Returns,"['VRTX', 'CTAS', 'UNH', 'JPM', 'LMT', 'FANG', 'NFLX', 'MU', 'LULU', 'BLDR', 'EXR', 'NEE', 'AMZN', 'ENPH', 'NVDA', 'AMD', 'PCG', 'MSCI', 'DXCM', 'AXON', 'MGM', 'INCY', 'WM', 'DHI', 'TSLA', 'LUV', 'SMCI', 'FSLR', 'NEM', 'FCX']",0.06356839586143019,0.06774233469891985,0.43297120751426843,-0.0009765570816998038,1.7835141093236069,6.739515311174096,-0.24540858006018587,0.3956578775770417,1.095251301311253,2.543949503917028,44.572852736268686,2.5045729839428867,-0.334284611249106,-0.05889210516564821,0.021011438917838753,0.0684268208026443,0.206722085263187,0.001728874798821961,30
2013-01-08,2020-01-08,2020-01-09,2021-01-11,0.011590888425985,0.0128105741247113,0.0708566536756911,0.0328407292019701,0.0351476999241239,0.2062621832428969,0.0340647736100385,0.0379607307414853,0.2231030967867931,True,Daily Log Returns,"['VRTX', 'CTAS', 'INCY', 'JPM', 'LMT', 'FANG', 'NFLX', 'MU', 'LULU', 'BLDR', 'EXR', 'NEE', 'AMZN', 'ENPH', 'NVDA', 'AMD', 'PCG', 'MSCI', 'DXCM', 'AXON', 'MGM', 'UNH', 'WM', 'DHI', 'TSLA', 'LUV', 'SMCI', 'FSLR', 'NEM', 'FCX']",0.060635496842801895,0.06499230690003766,0.40984897534703757,-0.0010184446085242742,1.7819885078126425,6.741702644533176,0.05543074094067,0.4129810745516758,1.1921126438335676,2.608655482499744,25.116443060574163,2.2085083018346796,-0.3379656998004871,-0.0636919439500997,0.015548572365816676,0.0634730132278099,0.20004948774205147,-0.003016755624542694,30
2013-01-09,2020-01-09,2020-01-10,2021-01-11,0.0123966044631127,0.0136825209985543,0.075802712740475,0.0331231553887655,0.0354324383586618,0.2077554201849896,0.0342384050726165,0.0380714969558835,0.2181916058541607,True,Daily Log Returns,"['VRTX', 'CTAS', 'INCY', 'JPM', 'LMT', 'FANG', 'NFLX', 'MU', 'LULU', 'LUV', 'EXR', 'PCG', 'UNH', 'MSCI', 'NVDA', 'AMD', 'SMCI', 'ENPH', 'NEE', 'AMZN', 'MGM', 'BLDR', 'AXON', 'DXCM', 'WM', 'NEM', 'DHI', 'TSLA', 'FSLR', 'FCX']",0.061627742452985364,0.06595121347570097,0.4167445266781221,-0.0011320905611004143,1.782014539132778,6.742632188026653,0.03939249902822605,0.37028876664984944,1.1176297451096748,2.4419898348575177,205.13658448431138,2.7907583707641175,-0.3371172097062598,-0.06289649024667353,0.01719845405862725,0.06532893612023408,0.20158751998996483,-0.0017458820555344837,30
2013-01-10,2020-01-10,2020-01-13,2021-01-13,0.0121663319101354,0.0134298449682076,0.0744946254867263,0.0315109876537523,0.0337391862399576,0.1971147334600299,0.0306645474410683,0.0340266144138439,0.1970467380004244,True,Daily Log Returns,"['FICO', 'CTAS', 'INCY', 'JPM', 'LMT', 'FANG', 'NFLX', 'MU', 'LULU', 'BLDR', 'EXR', 'NEE', 'AMZN', 'ENPH', 'NVDA', 'AMD', 'PCG', 'TFX', 'DXCM', 'AXON', 'MGM', 'UNH', 'WM', 'DHI', 'TSLA', 'LUV', 'FSLR', 'SMCI', 'NEM', 'FCX']",0.05178885899423221,0.05347076509486303,0.35374332029612743,-0.0004969103081368547,1.9589128902660413,6.772604318450035,-1.1474888682922126,0.2993032196728396,0.9657777160899215,2.312156182523909,38.89676696444224,1.8795682542772865,-0.34145069674952877,-0.07045646588692184,0.010894723014312362,0.06329109178382321,0.19373233951843263,-0.007254355792199575,30
2013-01-11,2020-01-13,2020-01-14,2021-01-14,0.0115988228795583,0.0128379967325497,0.070900933387082,0.0310185695677716,0.0332425403648283,0.1937646351324411,0.0308200791435967,0.0342127874506455,0.1978451849513195,True,Daily Log Returns,"['CTAS', 'UNH', 'PSX', 'MU', 'JPM', 'LULU', 'FICO', 'MSCI', 'NFLX', 'TFX', 'AMZN', 'MGM', 'AXON', 'LUV', 'NVDA', 'AMD', 'INCY', 'NEE', 'ENPH', 'DXCM', 'EXR', 'BLDR', 'PCG', 'FSLR', 'WM', 'TSLA', 'DHI', 'SMCI', 'NEM', 'FCX']",0.05646140279676094,0.05980344578943183,0.40903588920280326,-0.00038808330108554577,1.9549223119403365,6.779697378861933,-0.1090058713898846,0.32900955297290146,1.0130905140156605,2.3654768517295635,26.87595842605496,1.9135600402420851,-0.3413410770638306,-0.07007361993565353,0.0110629928177482,0.06346808329336046,0.19393104379648723,-0.006140591810678614,30
2013-01-14,2020-01-14,2020-01-15,2021-01-15,0.010097568021139,0.0112163392563838,0.0614545469958468,0.0295652970360979,0.0317928441144364,0.1839114070537686,0.0292681409100248,0.0324470906142784,0.1866162302056669,True,Daily Log Returns,"['CTAS', 'UNH', 'PSX', 'MU', 'JPM', 'LULU', 'FICO', 'MSCI', 'NFLX', 'TFX', 'AMZN', 'MGM', 'AXON', 'LUV', 'NVDA', 'AMD', 'INCY', 'NEE', 'ENPH', 'DXCM', 'EXR', 'BLDR', 'PCG', 'FSLR', 'DHI', 'TSLA', 'WM', 'SMCI', 'NEM', 'FCX']",0.05456762402681224,0.058066066143181654,0.39309866528702486,-0.000310897103127996,1.9556389348017855,6.780898369073189,-0.2130138444877087,0.30479002648436754,0.9751886401971684,2.538593928787286,57.74073943702371,2.0874613130699466,-0.34398844395641154,-0.07381129997822482,0.007631295597147685,0.06315990109103128,0.18913224215985053,-0.009433029031255617,30
2013-01-15,2020-01-15,2020-01-16,2021-01-19,0.0091849193407787,0.0102000663884062,0.0557341434810503,0.0296123891753581,0.0318439537736208,0.1842327621415857,0.0297615562788699,0.0329857579853175,0.1921118031897302,True,Daily Log Returns,"['CTAS', 'UNH', 'FANG', 'MU', 'JPM', 'LULU', 'FICO', 'MSCI', 'NFLX', 'TFX', 'AMZN', 'MGM', 'AXON', 'LUV', 'NVDA', 'AMD', 'DXCM', 'NEE', 'ENPH', 'INCY', 'EXR', 'BLDR', 'PCG', 'FSLR', 'TSLA', 'DHI', 'SMCI', 'WM', 'NEM', 'FCX']",0.05441984415820635,0.05763172237182043,0.392672197164099,-0.00016401331444346935,1.953141633910973,6.777381552026451,-0.21892757219542316,0.33184789499926626,0.9902611285724497,2.4963832806806088,90.28805949759918,2.5122182267030806,-0.3487235635731608,-0.07930414949408351,0.000696564423542858,0.05550628959572642,0.18054903450918225,-0.015679664482960456,30
